1,1,0.0033222591362126247,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
1,2,0.0033222591362126247,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
2,1,0.006644518272425249,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
2,2,0.006644518272425249,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
3,1,0.009966777408637873,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
3,2,0.009966777408637873,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
4,1,0.013289036544850499,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
4,2,0.013289036544850499,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
5,1,0.016611295681063124,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
5,2,0.016611295681063124,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
6,1,0.019933554817275746,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
6,2,0.019933554817275746,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
7,1,0.023255813953488372,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
7,2,0.023255813953488372,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
8,1,0.026578073089700997,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
8,2,0.026578073089700997,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
9,1,0.029900332225913623,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
9,2,0.029900332225913623,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
10,1,0.03322259136212625,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
10,2,0.03322259136212625,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
11,1,0.036544850498338874,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
11,2,0.036544850498338874,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
12,1,0.03986710963455149,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
12,2,0.03986710963455149,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
13,1,0.04318936877076412,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
13,2,0.04318936877076412,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
14,1,0.046511627906976744,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
14,2,0.046511627906976744,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
